student_ID,student_name,department_ID,self_introduction
B11902055,江彥翔,9020,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B10705039,謝沅婕,7050,怎麼又是這個狼尾檳榔嘴
B10408004,劉丞峻,4080,叫Gary的男生都很帥 但無一例外都是🈸==
B08903038,李文儀,9030,叫Gary的男生都很帥 但無一例外都是🈸==
F09549080,賴羿翰,5490,叫Gary的男生都很帥 但無一例外都是🈸==
B10602039,田雋諺,6020,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
R11528118,張閔琳,5280,我的性別認同是一架攻擊直升機
B10201015,林荷翰,2010,沒有父母願意花二十年養一個長髮男
B09701120,陳昱翔,7010,你好，我是甲
B10302029,鍾承昕,3020,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
R11622339,蔡易宸,6220,原來你也玩原神啊
B11100047,郭新揚,1000,我的性別認同是一架攻擊直升機
R10523142,蔡東瓏,5230,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B11405035,顏輔君,4050,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B09602024,何昀晴,6020,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B11105007,呂嘉秀,1050,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B08505022,施柏達,5050,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B10102638,江子亞,1020,幹你娘的腦洞破老鼠又忘記帶卡
B08611040,柯沛勳,6110,我的性別認同是一架攻擊直升機
B06405014,簡愉中,4050,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B11701239,林立蕎,7010,原來你也玩原神啊
B11505055,黃聖祐,5050,浴室裡沒有人 水是我開的
B11612005,陳品倢,6120,你好，我是甲
R11622208,張皓庭,6220,幹你娘的腦洞破老鼠又忘記帶卡
B10203022,施淳閎,2030,浴室裡沒有人 水是我開的
B11402055,劉容城,4020,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B09505055,張定奐,5050,沒有父母願意花二十年養一個長髮男
B09303044,江子濬,3030,朱大哥還活著
R10223082,孫德庭,2230,我的性別認同是一架攻擊直升機
B09902004,鄭雅璇,9020,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B09805015,宋家偉,8050,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11508032,洪偉勳,5080,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B08900016,吳尚樺,9000,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
R10622125,蔡秉丞,6220,朱大哥還活著
B05307023,羅心婷,3070,怎麼又是這個狼尾檳榔嘴
B11108053,陳威翔,1080,沒有父母願意花二十年養一個長髮男
B06208312,徐華誠,2080,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B10703150,解鈞睿,7030,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
R10921052,許家嘉,9210,幹你娘的腦洞破老鼠又忘記帶卡
B10501098,莊棋勳,5010,原來你也玩原神啊
B05306023,謝瑞允,3060,朱大哥還活著
B10605033,高凡堯,6050,你好，我是甲
B08612717,莊博泓,6120,叫Gary的男生都很帥 但無一例外都是🈸==
B09504035,顏輔華,5040,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B10204038,賴昱佑,2040,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
R11H42119,袁詠揚,H420,幹你娘的腦洞破老鼠又忘記帶卡
B11401004,施孟軒,4010,沒有父母願意花二十年養一個長髮男
B08106028,廖晧宸,1060,你好，我是甲
B11615032,黃鴻芝,6150,朱大哥還活著
R10941010,許群盛,9410,朱大哥還活著
R10631079,葉宸容,6310,沒有父母願意花二十年養一個長髮男
R11622115,吳正筠,6220,沒有父母願意花二十年養一個長髮男
B06407020,郭禹碩,4070,幹你娘的腦洞破老鼠又忘記帶卡
B08303018,解鈞雯,3030,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B10709021,鍾凱暄,7090,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B10A06020,呂嘉庭,A060,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B11611141,蘇琪慷,6110,我的性別認同是一架攻擊直升機
B10701004,黃振馨,7010,幹你娘的腦洞破老鼠又忘記帶卡
B10405015,許凱姸,4050,朱大哥還活著
R10623035,黃承昱,6230,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11602043,蔡睿陸,6020,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
R10245004,謝子佳,2450,幹你娘的腦洞破老鼠又忘記帶卡
B09901043,張晏棠,9010,沒有父母願意花二十年養一個長髮男
F08528024,張定瑞,5280,朱大哥還活著
R11221012,李品塘,2210,怎麼又是這個狼尾檳榔嘴
B10305016,游雅佑,3050,叫Gary的男生都很帥 但無一例外都是🈸==
B09501026,高凡華,5010,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B11106023,李冠丞,1060,幹你娘的腦洞破老鼠又忘記帶卡
B10902014,吳宜婷,9020,沒有父母願意花二十年養一個長髮男
R10924013,鍾承勳,9240,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B08609007,胡凱豪,6090,我的性別認同是一架攻擊直升機
B09401024,孫德萱,4010,叫Gary的男生都很帥 但無一例外都是🈸==
B10A04047,鄭宇倢,A040,你好，我是甲
R11942638,林嘉翰,9420,怎麼又是這個狼尾檳榔嘴
B08A01102,陳庠婕,A010,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B09107044,邱茂麒,1070,幹你娘的腦洞破老鼠又忘記帶卡
F08520015,張天仲,5200,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B11313036,胡宇泰,3130,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B10202150,蔡政容,2020,原來你也玩原神啊
B10701152,黃學琳,7010,原來你也玩原神啊
D09B41048,雷悅廷,B410,原來你也玩原神啊
B10302824,王偉樺,3020,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
R11120027,吳旻賢,1200,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B10201808,吳敏寬,2010,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B10302109,蔡育軒,3020,叫Gary的男生都很帥 但無一例外都是🈸==
B10604049,許家倫,6040,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B08301239,謝唯蓉,3010,叫Gary的男生都很帥 但無一例外都是🈸==
R11A21211,陳孝哲,A210,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B11401026,林奕昀,4010,我的性別認同是一架攻擊直升機
R11221207,江昌翰,2210,浴室裡沒有人 水是我開的
B11202638,黃品亭,2020,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B10901046,杜仁樺,9010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
R11624034,劉丞勳,6240,我的性別認同是一架攻擊直升機
B09302638,王淳亭,3020,原來你也玩原神啊
B09601013,江彥辰,6010,原來你也玩原神啊
R11948015,陳麗彥,9480,幹你娘的腦洞破老鼠又忘記帶卡
B07403044,陳柏駿,4030,浴室裡沒有人 水是我開的
B09901047,鄭健祐,9010,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B11616033,李梓帆,6160,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B10108023,陳威萱,1080,幹你娘的腦洞破老鼠又忘記帶卡
R10321066,陳泓閎,3210,我的性別認同是一架攻擊直升機
R11642125,李品芳,6420,原來你也玩原神啊
R08123055,施淳昕,1230,沒有父母願意花二十年養一個長髮男
B11702084,杜柏樺,7020,原來你也玩原神啊
R10442717,陳庠瀚,4420,浴室裡沒有人 水是我開的
B06202339,王柏儀,2020,我的性別認同是一架攻擊直升機
B09902106,楊皓盛,9020,朱大哥還活著
R11943012,謝沅茵,9430,幹你娘的腦洞破老鼠又忘記帶卡
F09543044,王思霆,5430,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B10617039,黃鈺剛,6170,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B10705020,許群峻,7050,幹你娘的腦洞破老鼠又忘記帶卡
B09101056,謝瑞芳,1010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11612339,史哲佑,6120,你好，我是甲
B09601046,蔡知謙,6010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11201017,鄭健翔,2010,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B11601001,郭新芳,6010,你好，我是甲
R11941066,鍾曜庭,9410,浴室裡沒有人 水是我開的
R11521204,蘇瑞堯,5210,幹你娘的腦洞破老鼠又忘記帶卡
B09503035,陳胤華,5030,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B09703077,李訓妤,7030,幹你娘的腦洞破老鼠又忘記帶卡
B11202005,吳懿緯,2020,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B10A01079,張以軒,A010,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
R09624093,陳柏維,6240,幹你娘的腦洞破老鼠又忘記帶卡
B11B01025,鄭盛勳,B010,朱大哥還活著
B11102638,王以諺,1020,叫Gary的男生都很帥 但無一例外都是🈸==
R10941037,林昱軒,9410,浴室裡沒有人 水是我開的
B08901014,胡凱辰,9010,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B09701082,林宸儒,7010,幹你娘的腦洞破老鼠又忘記帶卡
F07446028,劉勝駿,4460,叫Gary的男生都很帥 但無一例外都是🈸==
B10502150,雷悅妤,5020,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
D09B44081,陳奕蓁,B440,朱大哥還活著
B09702638,林宸千,7020,你好，我是甲
B10603020,陳允祺,6030,叫Gary的男生都很帥 但無一例外都是🈸==
B10302302,許群宏,3020,幹你娘的腦洞破老鼠又忘記帶卡
D03941010,楊承軒,9410,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B10701082,陳煜鴻,7010,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B11501029,施雅辰,5010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B09904017,王泓廷,9040,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11H01204,張承勳,H010,沒有父母願意花二十年養一個長髮男
B11701159,蔡欣盛,7010,我的性別認同是一架攻擊直升機
R11252037,張晏平,2520,幹你娘的腦洞破老鼠又忘記帶卡
B10801072,彭柏宏,8010,沒有父母願意花二十年養一個長髮男
B11617039,鄭宇廷,6170,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B09602055,高姿翔,6020,幹你娘的腦洞破老鼠又忘記帶卡
B09302125,林嘉叡,3020,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
R10222014,鍾奕庭,2220,朱大哥還活著
B09405005,賴彥君,4050,朱大哥還活著
B09A04047,劉筱安,A040,怎麼又是這個狼尾檳榔嘴
B08508024,黃信茹,5080,怎麼又是這個狼尾檳榔嘴
B11203008,謝涴諠,2030,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B09602037,高姿元,6020,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
R10521066,陳思芸,5210,怎麼又是這個狼尾檳榔嘴
R11A21101,林柏寬,A210,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B10101102,莊博諺,1010,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
R11621212,黃文宜,6210,你好，我是甲
R10A21073,黃揚叡,A210,我的性別認同是一架攻擊直升機
B10905032,黃康珊,9050,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B11401119,許庭棠,4010,原來你也玩原神啊
B11204004,鄭宇良,2040,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B09704011,蘇瑞睿,7040,原來你也玩原神啊
B10502028,陳泓廷,5020,我的性別認同是一架攻擊直升機
B08501150,陳柏文,5010,原來你也玩原神啊
B10901072,翁宏佑,9010,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
R11941024,陳昱婕,9410,原來你也玩原神啊
R11641098,邱思豫,6410,浴室裡沒有人 水是我開的
B10707039,蔡祐融,7070,沒有父母願意花二十年養一個長髮男
B11901016,陳勁瑋,9010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B07A01072,鄭陶婕,A010,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B11301011,林筱平,3010,原來你也玩原神啊
B11108003,蔡柏儒,1080,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11902001,李梓綺,9020,我的性別認同是一架攻擊直升機
B09509026,林城聿,5090,朱大哥還活著
B09901207,蔡欣磊,9010,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
R11121A01,李宇寬,1210,怎麼又是這個狼尾檳榔嘴
R10920039,謝瑞舜,9200,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B10502125,羅心廷,5020,我的性別認同是一架攻擊直升機
R11620012,許友同,6200,叫Gary的男生都很帥 但無一例外都是🈸==
B10301004,林志芸,3010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B08A01347,鍾翔怡,A010,幹你娘的腦洞破老鼠又忘記帶卡
B10201309,巫竑弘,2010,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B09701217,方詠諭,7010,沒有父母願意花二十年養一個長髮男
R10522055,楊承辰,5220,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B10207028,王凱萱,2070,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11901016,周梓佳,9010,朱大哥還活著
B11501061,林建霖,5010,沒有父母願意花二十年養一個長髮男
B09404093,蔡育憲,4040,沒有父母願意花二十年養一個長髮男
B10801120,陳妤宏,8010,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B10700047,梁品亞,7000,朱大哥還活著
B09A00012,蘇瑞賢,A000,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B09705022,郭沐寧,7050,沒有父母願意花二十年養一個長髮男
B08903082,江昌宏,9030,浴室裡沒有人 水是我開的
B10804051,簡言嘉,8040,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
R11122036,潘楷芳,1220,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B11901016,陳秉翔,9010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11105055,周天同,1050,原來你也玩原神啊
B11903068,許群諺,9030,原來你也玩原神啊
R11945034,李訓康,9450,幹你娘的腦洞破老鼠又忘記帶卡
B10204038,郭芃昀,2040,幹你娘的腦洞破老鼠又忘記帶卡
R11921056,柯沛儒,9210,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
R10222054,顧寬陽,2220,沒有父母願意花二十年養一個長髮男
F07443010,余思羽,4430,我的性別認同是一架攻擊直升機
B10701108,林家泰,7010,怎麼又是這個狼尾檳榔嘴
B09301216,戴源峻,3010,我的性別認同是一架攻擊直升機
B08A07044,蔡欣憲,A070,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
R11122115,蘇宏樺,1220,我的性別認同是一架攻擊直升機
B10A05004,林志勳,A050,沒有父母願意花二十年養一個長髮男
B11H04049,楊育霖,H040,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
R11624009,陳品康,6240,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B11903020,許家泰,9030,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
R10521012,詹侑睿,5210,叫Gary的男生都很帥 但無一例外都是🈸==
B11104034,黃凱均,1040,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B10A02125,林靖鴻,A020,你好，我是甲
B11101043,黃聖紹,1010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
R11941024,謝瑞璇,9410,沒有父母願意花二十年養一個長髮男
B09501126,施孟寧,5010,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B08101040,吳綺振,1010,叫Gary的男生都很帥 但無一例外都是🈸==
R11252217,陳泓樵,2520,浴室裡沒有人 水是我開的
B09802129,何昀菱,8020,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B08A02039,郭禹陞,A020,朱大哥還活著
B10A07023,黃蔓文,A070,浴室裡沒有人 水是我開的
B11402043,王亮勳,4020,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
R10944026,蔡柏瓏,9440,沒有父母願意花二十年養一個長髮男
R11255033,謝沅賢,2550,沒有父母願意花二十年養一個長髮男
B06204081,林昱叡,2040,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B10401017,林雨芸,4010,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B11603006,唐庭睿,6030,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B11401056,江彥勛,4010,浴室裡沒有人 水是我開的
B10402010,徐偉盛,4020,叫Gary的男生都很帥 但無一例外都是🈸==
R10632089,黃信棟,6320,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
F10945026,林亮嘉,9450,你好，我是甲
B10602638,黃鈺佑,6020,沒有父母願意花二十年養一個長髮男
B08A07033,薛晉翔,A070,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B09707028,蔡欣誠,7070,叫Gary的男生都很帥 但無一例外都是🈸==
B09607028,陳品諭,6070,叫Gary的男生都很帥 但無一例外都是🈸==
B11201045,吳逸文,2010,朱大哥還活著
R11643142,張皓同,6430,幹你娘的腦洞破老鼠又忘記帶卡
R07221039,詹侑軒,2210,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B09501330,劉子儒,5010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11903065,謝涴亞,9030,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
R11942022,林筱秀,9420,我的性別認同是一架攻擊直升機
R10243118,羅士逸,2430,沒有父母願意花二十年養一個長髮男
B11611A01,呂嘉翰,6110,浴室裡沒有人 水是我開的
B11603010,陳威君,6030,你好，我是甲
B10207013,賴昱辰,2070,叫Gary的男生都很帥 但無一例外都是🈸==
B09907074,邱茂燁,9070,叫Gary的男生都很帥 但無一例外都是🈸==
B08902033,林荷盛,9020,幹你娘的腦洞破老鼠又忘記帶卡
